study,sample,class
GSE10072,GSM254625,Tumor
GSE10072,GSM254626,Normal
GSE10072,GSM254627,Tumor
GSE10072,GSM254628,Normal
GSE10072,GSM254629,Tumor
GSE10072,GSM254630,Tumor
GSE10072,GSM254631,Tumor
GSE10072,GSM254632,Normal
GSE10072,GSM254633,Tumor
GSE10072,GSM254634,Normal
GSE10072,GSM254635,Normal
GSE10072,GSM254636,Tumor
GSE10072,GSM254637,Tumor
GSE10072,GSM254638,Normal
GSE10072,GSM254639,Tumor
GSE10072,GSM254640,Normal
GSE10072,GSM254641,Tumor
GSE10072,GSM254642,Tumor
GSE10072,GSM254643,Normal
GSE10072,GSM254644,Normal
GSE10072,GSM254645,Tumor
GSE10072,GSM254646,Normal
GSE10072,GSM254647,Tumor
GSE10072,GSM254648,Tumor
GSE10072,GSM254649,Normal
GSE10072,GSM254650,Tumor
GSE10072,GSM254651,Normal
GSE10072,GSM254652,Tumor
GSE10072,GSM254653,Normal
GSE10072,GSM254654,Tumor
GSE10072,GSM254655,Normal
GSE10072,GSM254656,Tumor
GSE10072,GSM254657,Tumor
GSE10072,GSM254658,Normal
GSE10072,GSM254659,Tumor
GSE10072,GSM254660,Normal
GSE10072,GSM254661,Tumor
GSE10072,GSM254662,Normal
GSE10072,GSM254663,Tumor
GSE10072,GSM254664,Tumor
GSE10072,GSM254665,Normal
GSE10072,GSM254666,Tumor
GSE10072,GSM254667,Normal
GSE10072,GSM254668,Tumor
GSE10072,GSM254669,Normal
GSE10072,GSM254670,Tumor
GSE10072,GSM254671,Normal
GSE10072,GSM254672,Tumor
GSE10072,GSM254673,Normal
GSE10072,GSM254674,Tumor
GSE10072,GSM254675,Tumor
GSE10072,GSM254676,Normal
GSE10072,GSM254677,Normal
GSE10072,GSM254678,Tumor
GSE10072,GSM254679,Normal
GSE10072,GSM254680,Tumor
GSE10072,GSM254681,Normal
GSE10072,GSM254682,Tumor
GSE10072,GSM254683,Normal
GSE10072,GSM254684,Tumor
GSE10072,GSM254685,Normal
GSE10072,GSM254686,Tumor
GSE10072,GSM254687,Tumor
